created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2021-11-11T11:01:19+00:00,1,20.4,33.5,21.9,88,1,,,,
2021-11-11T11:01:51+00:00,2,20.8,31.2,21.5,98,1,,,,
2021-11-11T11:02:22+00:00,3,20.8,31.6,21.2,98,1,,,,
2021-11-11T11:02:54+00:00,4,20.6,30.4,21.0,98,1,,,,
2021-11-11T11:03:25+00:00,5,20.6,31.2,20.9,98,1,,,,
2021-11-11T11:03:57+00:00,6,20.6,30.8,20.8,98,1,,,,
2021-11-11T11:04:29+00:00,7,20.5,30.8,20.6,98,1,,,,
2021-11-11T11:05:00+00:00,8,20.5,31.6,20.5,94,1,,,,
2021-11-11T11:05:32+00:00,9,20.6,35.6,20.6,96,1,,,,
2021-11-11T11:06:12+00:00,10,20.7,38.1,20.5,88,1,,,,
2021-11-11T11:06:43+00:00,11,20.8,37.6,20.4,92,1,,,,
2021-11-11T11:07:00+00:00,12,21.0,45.0,20.4,92,1,,,,
2021-11-11T11:07:20+00:00,13,21.0,36.3,20.4,98,1,,,,
2021-11-11T11:07:40+00:00,14,20.9,32.1,20.4,98,1,,,,
2021-11-11T11:08:00+00:00,15,20.8,31.4,20.4,98,1,,,,
2021-11-11T11:08:20+00:00,16,20.8,31.6,20.4,98,1,,,,
2021-11-11T11:08:39+00:00,17,20.8,32.7,20.3,98,1,,,,
2021-11-11T11:08:59+00:00,18,20.8,31.8,20.3,98,1,,,,
2021-11-11T11:09:19+00:00,19,20.7,31.5,20.3,98,1,,,,
2021-11-11T11:09:39+00:00,20,20.7,31.4,20.3,97,1,,,,
2021-11-11T11:09:59+00:00,21,20.7,31.5,20.3,98,1,,,,
2021-11-11T11:10:19+00:00,22,20.7,31.7,20.3,98,1,,,,
2021-11-11T11:10:39+00:00,23,20.7,31.5,20.2,98,1,,,,
2021-11-11T11:10:59+00:00,24,20.6,31.6,20.3,98,1,,,,
2021-11-11T11:11:19+00:00,25,20.6,31.6,20.2,91,1,,,,
2021-11-11T11:11:38+00:00,26,20.6,33.3,20.2,97,1,,,,
2021-11-11T11:12:05+00:00,27,20.6,34.5,20.2,91,1,,,,
2021-11-11T11:12:25+00:00,28,20.7,37.5,20.2,92,1,,,,
2021-11-11T11:12:44+00:00,29,20.8,36.4,20.2,91,1,,,,
2021-11-11T11:13:04+00:00,30,20.8,33.8,20.2,95,1,,,,
2021-11-11T11:13:24+00:00,31,20.8,36.9,20.2,98,1,,,,
2021-11-11T11:13:44+00:00,32,20.8,34.1,20.2,97,1,,,,
2021-11-11T11:14:04+00:00,33,20.8,32.4,20.2,98,1,,,,
2021-11-11T11:14:24+00:00,34,20.8,32.0,20.2,98,1,,,,
2021-11-11T11:14:43+00:00,35,20.7,31.8,20.2,98,1,,,,
2021-11-11T11:15:03+00:00,36,20.7,31.8,20.2,98,1,,,,
2021-11-11T11:15:23+00:00,37,20.6,31.7,20.1,98,1,,,,
2021-11-11T11:15:44+00:00,38,20.6,31.7,20.1,98,1,,,,
2021-11-11T11:16:04+00:00,39,20.6,31.7,20.1,98,1,,,,
2021-11-11T11:16:24+00:00,40,20.6,31.7,20.1,98,1,,,,
2021-11-11T11:16:44+00:00,41,20.5,31.5,20.1,98,1,,,,
2021-11-11T11:17:04+00:00,42,20.5,31.6,20.1,98,1,,,,
2021-11-11T11:17:23+00:00,43,20.5,31.8,20.2,98,1,,,,
2021-11-11T11:17:43+00:00,44,20.5,31.8,20.2,98,1,,,,
2021-11-11T11:18:03+00:00,45,20.4,31.9,20.1,98,1,,,,
2021-11-11T11:18:23+00:00,46,20.4,31.9,20.1,98,1,,,,
2021-11-11T11:18:43+00:00,47,20.4,31.8,20.1,97,1,,,,
2021-11-11T11:19:03+00:00,48,20.4,31.5,20.1,98,1,,,,
2021-11-11T11:19:23+00:00,49,20.4,31.8,20.1,98,1,,,,
2021-11-11T11:19:43+00:00,50,20.4,32.0,20.2,98,1,,,,
2021-11-11T11:20:03+00:00,51,20.4,32.0,20.1,98,1,,,,
2021-11-11T11:20:22+00:00,52,20.4,32.2,20.1,97,1,,,,
2021-11-11T11:20:42+00:00,53,20.3,31.9,20.1,98,1,,,,
2021-11-11T11:21:02+00:00,54,20.3,32.1,20.1,98,1,,,,
2021-11-11T11:21:22+00:00,55,20.3,32.1,20.1,98,1,,,,
2021-11-11T11:21:42+00:00,56,20.3,32.0,20.1,98,1,,,,
2021-11-11T11:22:02+00:00,57,20.3,31.5,20.1,98,1,,,,
2021-11-11T11:22:22+00:00,58,20.3,31.7,20.1,96,1,,,,
